nursery,forgery,messy,ˈnərsəri,ˈfɔrʤəri,ˈmɛsi
former,quarter,saxophone,ˈfɔrmər,kˈwɔrtə,ˈsæksəˌfoʊn
lead,pled,horror,lɛd,plɛ,ˈhɔrər
stale,scale,watcher,steɪl,skeɪ,ˈwɑʧər
pantomime,meantime,observe,ˈpæntəˌmaɪm,ˈminˌtaɪ,əbˈzərv
clopper,shopper,inflation,ˈklɑpər,ˈʃɑpər,ˌɪnˈfleɪʃən
linguist,interest,steadfast,ˈlɪŋgwɪst,ˈɪntəˌrɛst,ˈstɛdˌfæst
old,extolled,homely,oʊld,ɪkˈstoʊld,ˈhoʊmli
tacit,basket,cube,ˈtæsɪt,ˈbæskət,kjub
squeak,geek,driver,skwik,gik,ˈdraɪvər
hollow,calo,substance,ˈhɑloʊ,ˈkɑloʊ,ˈsəbstəns
anyhow,bow,assumption,ˈɛniˌhaʊ,boʊ,əˈsəmpʃən
unharmed,learned,buck,ənˈhɑrmd,ˈlərnɪd,bək
slang,chiang,doctor,slæŋ,ʧæŋ,ˈdɔktər
success,hotel,belly,səkˈsɛs,hoʊˈtɛl,ˈbɛli
heartbeat,unique,ceramics,ˈhɑrtˌbit,juˈnik,sərˈæmɪks
flow,row,columnist,floʊ,roʊ,ˈkɑləmnəst
avtovaz,jazz,pavement,ˈævˌtoʊˌvæz,ʤæz,ˈpeɪvmənt
hall,loll,question,hɔl,lɑl,kˈwɛʃən
walker,bomber,great,ˈwɔkər,ˈbɑmər,greɪt
rudeness,goodness,dollop,ˈrudnəs,ˈgʊdnɪs,ˈdɑləp
whiskey,sissy,tank,ˈwɪski,ˈsɪsi,tæŋk
drop,cop,access,drɔp,kɑ,ˈækˌsɛs
suffering,offering,cameo,ˈsəfərɪŋ,ˈɔfərɪ,ˈkæmiˌoʊ
songbird,demurred,oak,ˈsɔŋˌbərd,dɪˈmərd,oʊk
invitation,trepidation,impulse,ˌɪnvɪˈteɪʃən,ˌtrɛpɪˈdeɪʃə,ˌɪmˈpəls
straight,innate,notoriety,streɪt,ˌɪˈneɪ,ˌnoʊtərˈaɪəti
nights,ice,knitting,naɪts,aɪ,ˈnɪtɪŋ
level,devilish,work,ˈlɛvəl,ˈdɛvlɪʃ,wərk
brink,fink,bead,brɪŋk,fɪŋk,bid
pool,vestibule,sarong,pul,ˈvɛstɪˌbju,sərɔŋ
cater,labor,ethereal,ˈkeɪtər,ˈleɪbər,ɪˈθɪriəl
ere,rare,subscription,ɛr,rɛ,səbˈskrɪpʃən
shy,verify,chives,ʃaɪ,ˈvɛrəˌfaɪ,ʧaɪvz
electricity,sympathy,romaine,ɪˌlɛkˈtrɪsəti,ˈsɪmpəθi,roʊˈmeɪn
memorize,apprise,didactic,ˈmɛmərˌaɪz,əˈpraɪz,daɪˈdæktɪk
kill,mil,umbrella,kɪl,mɪ,ˈəmˌbrɛlə
texan,protection,democrat,ˈtɛksən,prəˈtɛkʃə,ˈdɛməˌkræt
marble,turtle,fork,ˈmɑrbəl,ˈtərtəl,fɔrk
camp,gas lamp,sore,kæmp,gæs læ,sɔr
groovy,movie,cyclamen,ˈgruvi,ˈmuvi,saɪklʌmɛn
serve,normal curve,spectrum,sərv,ˈnɔrməl kərv,ˈspɛktrəm
hurl,girl,plow,hərl,gə,plaʊ
admissible,physical,sensitive,ədˈmɪsəbəl,ˈfɪzɪkə,ˈsɛnsɪtɪv
run,nun,axiomatic,rən,nə,ˌæksiəˈmætɪk
credit,medic,induce,ˈkrɛdɪt,ˈmɛdɪk,ˌɪnˈdus
lake,uptake,install,leɪk,ˈəpˌteɪ,ˌɪnˈstɔl
wicked,twisted,aftershave,ˈwɪkəd,tˈwɪstɪ,ˌæftərˈʃeɪv
law,la,fortune,lɔ,lɑ,ˈfɔrʧən
sneaky,cheesy,statue,sˈniki,ˈʧizi,ˈstæˌʧu
temptation,haven,councilor,tɛmˈteɪʃən,ˈheɪvən,ˈkaʊnsɪlər
imagine,passion,warlike,ˌɪˈmæʤən,ˈpæʃə,ˈwɔˌrlaɪk
crow,blow,cauliflower,kroʊ,bloʊ,ˈkɑləˌflaʊər
fast,mast,bosom,fæst,mæ,ˈbʊzəm
cannibalize,prescribe,diligent,ˈkænəbəˌlaɪz,prəˈskraɪ,ˈdɪlɪʤənt
rage,offstage,teammate,reɪʤ,ˈɔfˈsteɪ,ˈtiˌmeɪt
outlandish,lavish,hike,aʊˈtlændɪʃ,ˈlævɪʃ,haɪk
address,compress,evaluate,ˈæˌdrɛs,ˈkɑmprɛs,ɪˈvæljuˌeɪt
nibble,pickle,bloom,ˈnɪbəl,ˈpɪkə,blum
hardware,compare,funeral,ˈhɑrdˌwɛr,kəmˈpɛ,fˈjunərəl
haiti,baby,modify,ˈheɪti,ˈbeɪbi,ˈmɑdəˌfaɪ
affectionate,benefit,wren,əˈfɛkʃənət,ˈbɛnəfɪt,rɛn
boule,cool,master,bul,ku,ˈmæstər
raw wool,pull,jobless,rɑ wʊl,pʊ,ˈʤɑbləs
quail,tale,settlement,kweɪl,teɪl,ˈsɛtəlmənt
bare,engineer,zippy,bɛr,ˈɛnʤəˈnɪr,ˈzɪpi
therapist,derelict,acceptable,ˈθɛrəpɪst,ˈdɛrəˌlɪkt,əkˈsɛptəbəl
complaint,patron saint,cricket,kəmˈpleɪnt,ˈpeɪtrən seɪnt,ˈkrɪkɪt
insane,hallway,dahlia,ˌɪnˈseɪn,ˈhɔlˌweɪ,ˈdæljə
equals,peaceful,search,ˈikwəlz,ˈpisfə,sərʧ
relay,bouquet,hulking,ˈriˌleɪ,buˈkeɪ,ˈhəlkɪŋ
clock,sidewalk,venti,klɑk,ˈsaɪdˌwɔ,ˈvɛnti
birthday,inlay,overhead,ˈbərθˌdeɪ,ˈɪnˌleɪ,ˈoʊvərˈhɛd
bury,jury,collection,ˈbɛri,ˈʤʊri,kəˈlɛkʃən
outlined,remind,drudgery,ˈaʊˌtlaɪnd,riˈmaɪ,ˈdrəʤəri
popsicle,illogical,nail,ˈpɑpsɪkəl,ˌɪˈlɑʤɪkə,neɪl
believing,meaning,service,bɪˈlivɪŋ,ˈminɪ,ˈsərvɪs
ceiling,feelings,estate,ˈsilɪŋ,ˈfilɪŋz,ɛˈsteɪt
quasi,coffee,glacier,kˈwɑsi,ˈkɔfi,ˈgleɪʃər
rush,plush,rib,rəʃ,plə,rɪb
walla,olive,redesign,ˈwɔlə,ˈɑlɪ,ˌridɪˈzaɪn
flow,stereo,partridge,floʊ,ˈstɛriˌoʊ,ˈpɑrtrɪʤ
contention,compression,geek,kənˈtɛnʃən,kəmˈprɛʃən,gik
louche,couch,treatment,luʃ,kaʊ,ˈtritmənt
spring,string,kick,spərɪŋ,strɪ,kɪk
poke,invoke,vanish,poʊk,ˌɪnˈvoʊk,ˈvænɪʃ
bling,ring,stick,blɪŋ,rɪ,stɪk
snake,wake,runaway,sneɪk,weɪ,ˈrənəˌweɪ
addicted,victim,yeast,əˈdɪktɪd,ˈvɪktɪm,jist
honey,penny,spy,ˈhəni,ˈpɛni,spaɪ
emphasize,surprise,needy,ˈɛmfəˌsaɪz,səˈpraɪ,ˈnidi
kist,wrist,hypnotic,kɪst,rɪst,hɪpˈnɑtɪk
dragon,nagging,overhead,ˈdrægən,ˈnægɪŋ,ˈoʊvərˈhɛd
lot,dot,chinchilla,lɔt,dɑ,ʧɪnˈʧɪlə
red,retread,midwife,rɛd,riˈtrɛ,ˈmɪdˌwaɪf
cloth,voth,fatigue,klɔθ,vɑ,fəˈtig
adorable,affordable,fighter,əˈdɔrəbəl,əˈfɔrdəbəl,ˈfaɪtər
collapse,kidnapped,tom-tom,kəˈlæps,ˈkɪdˌnæpt,tɑm tɑm
insane,heartache,rice,ˌɪnˈseɪn,ˈhɑrˌteɪk,raɪs
union,loosen,volunteer,ˈjunjən,ˈlusən,ˌvɑlənˈtɪr
lens,mens,exuberant,lɛnz,mɛ,ɪgˈzubərənt
cocktail,scale,efficiency,ˈkɑkˌteɪl,skeɪl,ɪˈfɪʃənsi
potion,notion,story-telling,ˈpoʊʃən,ˈnoʊʃə,ˈstɔri ˈtɛlɪŋ
saloon,lulu,pick,səˈlun,ˈluˌlu,pɪk
wrong,gong,deer,rɔŋ,gɔ,dɪr
masterstroke,poke,trowel,ˈmæstərˌstroʊk,poʊk,ˈtraʊwɛl
striding,guidance,wagon,ˈstraɪdɪŋ,ˈgaɪdə,ˈwægən
reliable,capable,prestige,rɪˈlaɪəbəl,ˈkeɪpəbəl,prɛˈstiʒ
chin,sin,strong,ʧɪn,sɪ,strɔŋ
step in,second,guttural,stɛp ɪn,ˈsɛkənd,ˈgətərəl
pro,photo,confront,proʊ,ˈfoʊˌtoʊ,kənˈfrənt
lest,test,gravel,lɛst,tɛ,ˈgrævəl
hours,power,vineyard,aʊərz,paʊər,ˈvɪnjərd
fear,hire,pleat,fɪr,haɪə,plit
turnpike,sunlight,port,ˈtərnˌpaɪk,ˈsənˌlaɪt,pɔrt
notice,poet,activation,ˈnoʊtɪs,poʊət,ˌæktəˈveɪʃən
munchausen,thousand,marshmallow,ˈmənˌʧaʊzɪn,ˈθaʊzə,ˈmɑrʃˌmɛloʊ
plum,some,horseradish,pləm,sə,ˈhɔrsˌrædɪʃ
blenda,agenda,meme,ˈblɛndə,əˈʤɛndə,mim
scant,aunt,hearsay,skænt,ɔnt,ˈhirˌseɪ
shower,clower,vitality,ʃaʊər,klaʊər,vaɪˈtæləti
blue,u,parka,blu,ju,ˈpɑrkə
candidate,alchemist,spurious,ˈkænədɪt,ˈælkɛˌmɪst,ˈspəriəs
zip,rip,tattler,zɪp,rɪ,ˈtætlər
lectured,texture,memo,ˈlɛkʧərd,ˈtɛksʧə,ˈmɛˌmoʊ
mister,lister,carriage,ˈmɪstər,ˈlɪstə,ˈkɛrəʤ
track,lack,eyebrows,træk,læk,ˈaɪˌbraʊz
weak,technique,create,wik,tɛkˈnik,kriˈeɪt
dousing,thousand,diner,ˈdaʊsɪŋ,ˈθaʊzə,ˈdaɪnər
offender,temper,monasticism,əˈfɛndər,ˈtɛmpə,məˈnæstəˌsɪzəm
magic,static,century,ˈmæʤɪk,ˈstætɪk,ˈsɛnʧəri
crusher,pusher,nod,ˈkrəʃər,ˈpʊʃə,nɑd
quick,flick,assignment,kwɪk,flɪk,əˈsaɪnmənt
hop,flop,blue,hɑp,flɑp,blu
wheel,conceal,awake,wil,kənˈsi,əˈweɪk
gall,ball,silo,gɔl,bɔl,ˈsaɪloʊ
shard,boulevard,transform,ʃɑrd,ˈbʊləˌvɑrd,ˈtrænsfɔrm
sure,bare,dig,ʃʊr,bɛ,dɪg
brunk,drunk,mailman,brəŋk,drəŋk,ˈmeɪlˌmæn
cesspool,cool,flippant,ˈsɛˌspul,kul,ˈflɪpənt
information,patience,lecture,ˌɪnˌfɔrˈmeɪʃən,ˈpeɪʃə,ˈlɛkʧər
position,disposition,diamond,pəˈzɪʃən,ˌdɪspəˈzɪʃə,ˈdaɪmənd
wash,macintosh,invincible,wɑʃ,ˈmækənˌtɔʃ,ˌɪnˈvɪnsəbəl
leather,zephyr,turban,ˈlɛðər,ˈzɛfə,ˈtərbən
thing,ding,marshland,θɪŋ,dɪ,ˈmɑrʃˌlænd
seat,retreat,half-sister,sit,riˈtri,hæf ˈsɪstər
banged,strand,brother,bæŋd,stræ,ˈbrəðər
instinct,mincing,rack,ˈɪnstɪŋkt,ˈmɪnsɪŋ,ræk
worm,minor term,calf,wərm,ˈmaɪnər tə,kæf
bride,wide,overhear,braɪd,waɪ,ˈoʊvərˈhir
tread,led,screen,trɛd,lɛ,skrin
cheat,receipt,bother,ʧit,rɪˈsit,ˈbɑðər
threatening,dead reckoning,summary,θˈrɛtənɪŋ,dɛd ˈrɛkənɪ,ˈsəməri
gain,abstain,grandfather,geɪn,əbˈsteɪ,ˈgrænˌfɑðər
stork,bark,popularity,stɔrk,bɑ,ˌpɑpjəˈlɛrəti
auction bridge,rich,lantern,ˈɔkʃən brɪʤ,rɪ,ˈlæntərn
botanist,optimist,illustration,ˈbɑtənɪst,ˈɑptɪmɪst,ˌɪləˈstreɪʃən
flood,stud,luxury,fləd,stə,ˈləgʒəri
dock,brock,husband,dɑk,brɑk,ˈhəzbənd
drummer,suffer,infant,ˈdrəmər,ˈsəfə,ˈɪnfənt
break of serve,curve,wit,breɪk əv sərv,kə,wɪt
bren,den,cord,brɛn,dɛ,kɔrd
spiral,recycle,gram,ˈspaɪrəl,riˈsaɪkəl,græm
haver,feather,catacomb,ˈhɛvər,ˈfɛðə,ˈkætəˌkoʊm
slate,rate,rumor,sleɪt,reɪt,ˈrumər
actually,fallacy,term,ˈæˌkʧuəli,ˈfæləsi,tərm
mine,stein,sprinter,maɪn,staɪn,ˈsprɪntər
stone age,rage,parser,stoʊn eɪʤ,reɪ,ˈpɑrsər
idea,eritrea,inspector,aɪˈdiə,ˌɛrɪˈtriə,ˌɪnˈspɛktər
businesslike,strike,adverb,ˈbɪznɪsˌlaɪk,straɪ,ˈædvərb
prange,strange,blend,preɪnʤ,streɪ,blɛnd
before,sidewalk,dad,ˌbiˈfɔr,ˈsaɪdˌwɔk,dæd
warren,barren,information,ˈwɔrən,ˈbɛrə,ˌɪnˌfɔrˈmeɪʃən
tripe,pipe,colonial,traɪp,paɪ,kəˈloʊniəl
suspense,pretend,transit,səˈspɛns,priˈtɛ,ˈtrænzɪt
appear,bore,disengagement,əˈpɪr,bɔr,dɪsɪnˈgeɪʤmənt
bereft,chest,creativity,bərˈɛft,ʧɛ,ˌkrieɪˈtɪvəti
ing,thing,occasion,ɪŋ,θɪ,əˈkeɪʒən
liver,indian giver,patch,ˈlɪvər,ˈɪndiən ˈgɪvər,pæʧ
skin,min,girdle,skɪn,mɪn,ˈgərdəl
wolf,beowulf,pursuit,wʊlf,ˈbeɪəˌwʊlf,pərˈsut
bale,sail,specialty,beɪl,seɪ,ˈspɛʃəlti
lens,pens,derivation,lɛnz,pɛ,ˌdɛrəˈveɪʃən
curing,insurance,teller,ˈkjʊrɪŋ,ˌɪnˈʃʊrəns,ˈtɛlər
crooked,wooden,removal,ˈkrʊkəd,ˈwʊdə,rɪˈmuvəl
sky,eye,clavicle,skaɪ,aɪ,ˈklævɪkəl
ravel,sell,plausible,ˈrævəl,sɛ,ˈplɔzəbəl
eleventh,stressing,rubbish,ˈilɛvənθ,ˈstrɛsɪ,ˈrəbɪʃ
front matter,latter,buy,frənt ˈmætər,ˈlætər,baɪ
rage,batting cage,paramedic,reɪʤ,ˈbætɪŋ keɪ,ˌpɛrəˈmɛdɪk
trick,tic,sac,trɪk,tɪ,sæk
bitter,vicar,voyage,ˈbɪtər,ˈvɪkə,vɔɪəʤ
glow,snow,new,gloʊ,snoʊ,nu
macaw,straw,grease,məˈkɔ,strɔ,gris
hyster,mister,echidna,ˈhɪstər,ˈmɪstər,ˌɛˈkɪdnə
bruxelles,jealous,prescription,brəkˈsɛləs,ˈʤɛləs,prəˈskrɪpʃən
itch,mich,link,ɪʧ,mɪ,lɪŋk
reach,teach,post,riʧ,tiʧ,poʊst
hurt,short,bandolier,hərt,ʃɔrt,ˌbændəˈlɪr
cart,parte,hammock,kɑrt,ˈpɑrteɪ,ˈhæmək
quo,snow,typical,kwoʊ,snoʊ,ˈtɪpɪkəl
calf,bar graph,poetry,kæf,bɑr græf,ˈpoʊətri
array,prey,hamburger,əreɪ,preɪ,ˈhæmbərgər
hark,fork,wicked,hɑrk,fɔrk,ˈwɪkəd
scientific,physics,null,ˌsaɪənˈtɪfɪk,ˈfɪzɪ,nəl
throw,pro,dangerous,θroʊ,proʊ,ˈdeɪnʤərəs
vignette,quartet,suck,vɪnˈjɛt,kwɔrˈtɛt,sək
aim,fame,execute,eɪm,feɪm,ˈɛksəˌkjut
god,goldenrod,eyebrows,gɑd,ˈgoʊldənˌrɑd,ˈaɪˌbraʊz
interlock,chalk,snowstorm,ˌɪntərˈlɑk,ʧɔk,sˈnoʊˌstɔrm
rat,chitchat,photographer,ræt,ˈʧɪˌtʧæt,fəˈtɑgrəfər
alibi,improvise,nursing,ˈæləˌbaɪ,ˌɪmprəˈvaɪz,ˈnərsɪŋ
temper,december,worker,ˈtɛmpər,dɪˈsɛmbə,ˈwərkər
pawnshop,bop,aperitif,ˈpɔnˌʃɑp,bɑp,əˌpɛrəˈtif
menu,rescue,grade,ˈmɛnju,ˈrɛskju,greɪd
pine,fine,riser,paɪn,faɪ,ˈraɪzər
spirit,coherent,engine,ˈspɪrɪt,koʊˈhɪrə,ˈɪnʤən
deliverable,invincible,theory,dɪˈlɪvərəbəl,ˌɪnˈvɪnsəbəl,ˈθɪri
packet,carrot,grouper,ˈpækɪt,ˈkɛrə,ˈgrupər
carbon,garbage,answer,ˈkɑrbən,ˈgɑrbɪʤ,ˈænsər
watch cap,stab,grid,wɔʧ kæp,stæb,grɪd
embryo,sew,daffodil,ˈɛmbriˌoʊ,soʊ,ˈdæfəˌdɪl
verify,dry,towering,ˈvɛrəˌfaɪ,draɪ,ˈtaʊrɪŋ
land reform,harm,main,lænd rɪˈfɔrm,hɑ,meɪn
youth,polling booth,herb,juθ,ˈpoʊlɪŋ buθ,ərb
pyle,mile,jar,paɪl,maɪ,ʤɑr
ticket,pickle,prelude,ˈtɪkɪt,ˈpɪkə,ˈpreɪˌlud
super,tuner,acorn,ˈsupər,ˈtunər,ˈeɪkɔrn
news,revenues,extension,nuz,ˈrɛvəˌnuz,ɪkˈstɛnʃən
scream,american dream,spooky,skrim,əˈmɛrɪkən drim,ˈspuki
ignore,adore,maintain,ˌɪgˈnɔr,əˈdɔr,meɪnˈteɪn
megadeath,breath,tent,ˈmɛgəˌdɛθ,brɛ,tɛnt
coincidence,dissonance,elfin,koʊˈɪnsɪdəns,ˈdɪsənə,ˈɛlfɪn
recognize,arise,alight,ˈrɛkəgˌnaɪz,əraɪ,əˈlaɪt
stock,sidewalk,pilot,stɑk,ˈsaɪdˌwɔk,ˈpaɪlət
bloody,money,final,ˈblədi,ˈməni,ˈfaɪnəl
green,canteen,sensitive,grin,kænˈtin,ˈsɛnsɪtɪv
assess,undress,midline,əˈsɛs,ənˈdrɛs,ˈmɪˌdlaɪn
cameo,glow,people,ˈkæmiˌoʊ,gloʊ,ˈpipəl
brother,den mother,fries,ˈbrəðər,dɛn ˈməðə,fraɪz
reattach,catch,slipper,ˈriəˈtæʧ,kæ,sˈlɪpər
citizen,jettison,guy,ˈsɪtɪzən,ˈʤɛtɪsən,gaɪ
basque,ask,resolution,bæsk,æsk,ˌrɛzəˈluʃən
wed,ed,ischemia,wɛd,ɛd,ˌɪˈskɛmiə
wee,guarantee,possible,wi,ˌgɛrənˈti,ˈpɑsəbəl
corpus,gorgeous,sustenance,ˈkɔrpəs,ˈgɔrʤə,ˈsəstənəns
leather,lesser,course,ˈlɛðər,ˈlɛsər,kɔrs
miss,kis,fetch,mɪs,kɪ,fɛʧ
bite,site,centimeter,baɪt,saɪt,ˈsɛntəˌmitər
hearing,engineering,swivel,ˈhirɪŋ,ˈɛnʤəˈnɪrɪŋ,sˈwɪvəl
brained,ashamed,accessible,breɪnd,əˈʃeɪmd,ækˈsɛsəbəl
rummage,stomach,calico,ˈrəmɪʤ,ˈstəmək,ˈkæləˌkoʊ
creep,keep,selection,krip,ki,səˈlɛkʃən
ann,businessman,howitzer,æn,ˈbɪznɪsˌmæ,ˈhaʊətsər
guidance,appliance,moth,ˈgaɪdəns,əˈplaɪəns,mɔθ
glove,barren of,finisher,gləv,ˈbɛrən ə,ˈfɪnɪʃər
shiver,ripper,downturn,ˈʃɪvər,ˈrɪpər,ˈdaʊnˌtərn
jewelry,opportunity,damp,ˈʤuəlri,ˌɑpərˈtunəti,dæmp
thick,quick,hysterical,θɪk,kwɪk,hɪˈstɛrɪkəl
flat,wildcat,tasteful,flæt,ˈwaɪldˌkæt,ˈteɪstfəl
ghost,post-,hand,goʊst,poʊ,hænd
therapy,prosperity,fierce,ˈθɛrəpi,prɑˈspɛrəti,fɪrs
father,smother,knowledge,ˈfɑðər,sˈməðər,ˈnɑlɪʤ
sycamore,or,community,ˈsɪkəˌmɔr,ər,kəmˈjunɪti
hook,overlook,original,hʊk,ˈoʊvərˌlʊ,ərˈɪʤənəl
connive,hive,cash,kəˈnaɪv,haɪv,kæʃ
box,unorthodox,finish,bɑks,əˈnɔrθəˌdɑ,ˈfɪnɪʃ
support,cavort,lifetime,səˈpɔrt,kəˈvɔ,ˈlaɪfˌtaɪm
storm,buy the farm,insurrection,stɔrm,baɪ ðə fɑ,ˌɪnsərˈɛkʃən
duck,moonstruck,motive,dək,ˈmunˌstrək,ˈmoʊtɪv
bucket,puckett,reindeer,ˈbəkɪt,ˈpəkɪ,ˈreɪnˌdɪr
husband,justin,tick,ˈhəzbənd,ˈʤəstɪ,tɪk
brownie,romani,melt,ˈbraʊni,roʊˈmɑni,mɛlt
depressed,gest,curler,dɪˈprɛst,ʤɛst,ˈkərlər
endure,ear,carp,ɪnˈdʊr,ɪr,kɑrp
wound,sound,prow,wund,saʊnd,praʊ
thrill,mill,realize,θrɪl,mɪl,ˈriəˌlaɪz
full,virgin wool,bass,fʊl,ˈvərʤɪn wʊl,bæs
creep,bopeep,sun,krip,boʊˈpip,sən
discreet,compete,carter,dɪˈskrit,kəmˈpit,ˈkɑrtər
pickup,look up,double,ˈpɪˌkəp,lʊk ə,ˈdəbəl
cross,floss,warming,krɔs,flɑ,ˈwɔrmɪŋ
cure,reassure,lift,kjʊr,ˌriəˈʃʊ,lɪft
spread,embed,stucco,sprɛd,ɪmˈbɛ,ˈstəkoʊ
linen,minute,squeeze,ˈlɪnən,ˈmɪnət,skwiz
disco,kisco,atm,ˈdɪskoʊ,ˈkɪskoʊ,ˈeɪˌtiˈɛm
drip,sip,still,drɪp,sɪ,stɪl
profane,train,personal,proʊˈfeɪn,treɪ,ˈpərsɪnəl
landfill,hill,streetcar,ˈlændˌfɪl,hɪl,ˈstritˌkɑr
tube,oop,impartial,tub,up,ˌɪmˈpɑrʃəl
involve,solve,vitro,ˌɪnˈvɑlv,sɑlv,ˈvɪtroʊ
smock,stock,plain,smɑk,stɑk,pleɪn
spleen,mein,handsaw,splin,min,ˈhændˌsɔ
tease apart,start,gall-bladder,tiz əˈpɑrt,stɑrt,gɔl ˈblædər
quintessence,presence,housework,kwɪnˈtɛsəns,ˈprɛzəns,ˈhaʊsˌwərk
wreck,apec,narrow,rɛk,ˈeɪˌpɛk,ˈnɛroʊ
impacted tooth,smooth,thrive,ˌɪmˈpæktɪd tuθ,smuð,θraɪv
apologize,suffice,envelope,əˈpɑləˌʤaɪz,səˈfaɪs,ˈɛnvəˌloʊp
bole,role,clipper,boʊl,roʊl,ˈklɪpər
footnote,tugboat,compulsion,ˈfʊtˌnoʊt,ˈtəgˌboʊ,kəmˈpəlʃən
fantasy,calamity,armchair,ˈfænəsi,kəˈlæmɪti,ˈɑrmˌʧɛr
attack,piggyback,actress,əˈtæk,ˈpɪgiˌbæ,ˈæktrəs
shifter,whisper,toll,ˈʃɪftər,ˈwɪspər,toʊl
hypocrisy,policy,territory,hɪˈpɑkrəsi,ˈpɑləsi,ˈtɛrɪˌtɔri
strive,connive,feather,straɪv,kəˈnaɪv,ˈfɛðər
proffit,profit,nickname,ˈprɑfɪt,ˈprɑfɪ,ˈnɪkˌneɪm
hearts,force,ischemia,hɑrts,fɔ,ˌɪˈskɛmiə
coat of paint,complaint,alert,koʊt əv peɪnt,kəmˈpleɪ,əˈlərt
lighten,tighten,mozzarella,ˈlaɪtən,ˈtaɪtən,mɑtsʌɹɛlʌ
relate,convey,countess,rɪˈleɪt,kənˈveɪ,ˈkaʊntəs
awful,horrid,planet,ˈɔfəl,ˈhɔrə,ˈplænət
heavy,fairy,latitude,ˈhɛvi,ˈfɛri,ˈlætəˌtud
tangle,example,mid-course,ˈtæŋgəl,ɪgˈzæmpə,mɪd kɔrs
scared,record,preside,skɛrd,ˈrɛkərd,prɪˈzaɪd
disguise,arrive,stumbling,dɪsˈgaɪz,əraɪ,ˈstəmbəlɪŋ
nook,hook,parenthesis,nʊk,hʊk,pərˈɛnθəsɪs
bolt,colt,geranium,boʊlt,koʊlt,ʤərˈeɪniəm
whaley,daily,competence,ˈweɪli,ˈdeɪli,ˈkɑmpətɪns
song,dong,response,sɔŋ,dɔ,rɪˈspɑns
meshes,precious,kind,ˈmɛʃɪz,ˈprɛʃə,kaɪnd
tensions,intention,parenting,ˈtɛnʧənz,ˌɪnˈtɛnʧən,ˈpɛrəntɪŋ
door,affair,bawdy,dɔr,əˈfɛ,ˈbɔdi
pay,cafe,airline,peɪ,kəˈfeɪ,ˈɛˌrlaɪn
loafer,sofer,sauerkraut,ˈloʊfər,ˈsoʊfə,ˈsaʊərˌkraʊt
unrealistic,scientific,cod,ənˌriˈlɪstɪk,ˌsaɪənˈtɪfɪ,ˈsiˈoʊˈdi
guess,abs,widow,gɛs,ˈeɪˈbiˈɛs,ˈwɪdoʊ
interrupt,stir up,farrow,ˌɪntərˈəpt,stər ə,ˈfɛˌroʊ
busy,dizzy,orange,ˈbɪzi,ˈdɪzi,ˈɔrɪnʤ
thermostat,bat,entrepreneur,ˈθərməˌstæt,bæ,ˌɑntrəprəˈnʊr
mix,fish and chips,lover,mɪks,fɪʃ ənd ʧɪ,ˈləvər
slop,shop,minion,slɑp,ʃɑ,ˈmɪnjən
rid,outbid,parcel,rɪd,ˈaʊtˌbɪd,ˈpɑrsəl
wave,galley slave,south,weɪv,ˈgæli sleɪv,saʊθ
bathe,nathe,dock,beɪð,neɪð,dɑk
fun,anyone,settlement,fən,ˈɛniˌwə,ˈsɛtəlmənt
heed,need,athletics,hid,ni,æθˈlɛtɪks
adhere,pour,heart,əˈdhɪr,pɔ,hɑrt
stick,slick,troubled,stɪk,slɪ,ˈtrəbəld
forsake,wake,squeak,fɔrˈseɪk,weɪ,skwik
move,prove,affect,muv,pru,əˈfɛkt
hao,sow,modeling,haʊ,soʊ,ˈmɑdəlɪŋ
frill,fill,radiate,frɪl,fɪl,ˈreɪdiˌeɪt
thumb,alum,mythology,θəm,ˈælə,məˈθɑləˌʤi
skip,ownership,plumber,skɪp,ˈoʊnərˌʃɪ,ˈpləmər
darkness,weirdness,performance,ˈdɑrknəs,ˈwɪrdnə,pərˈfɔrməns
speaking,screaming,mobster,ˈspikɪŋ,ˈskrimɪŋ,ˈmɑbstər
emblematic,dramatic,safeguard,ˌɛmbləˈmætɪk,drəˈmætɪk,ˈseɪfˌgɑrd
purchase,dermis,warfare,ˈpərʧəs,ˈdərmə,ˈwɔrˌfɛr
wicked,conflicted,prairie,ˈwɪkəd,kənˈflɪktɪd,ˈprɛri
obfuscate,weight,horror,ˈɑbfəˌskeɪt,weɪ,ˈhɔrər
sit,misfit,fawn,sɪt,ˈmɪsˌfɪ,fɔn
saint,restraint,polyester,seɪnt,rɪˈstreɪnt,ˌpɑˌliˈɛstər
drinking,stinging,lobster,ˈdrɪŋkɪŋ,ˈstɪŋɪŋ,ˈlɑbstər
uptake,cake,deliberation,ˈəpˌteɪk,keɪk,dɪˌlɪbərˈeɪʃən
country club,rub,poster,ˈkəntri kləb,rə,ˈpoʊstər
impression,devon,monkey,ˌɪmˈprɛʃən,ˈdɛvən,ˈməŋki
dull,sea gull,intercourse,dəl,si gə,ˈɪnərˌkɔrs
fires,iron,tested,faɪərz,aɪə,ˈtɛstɪd
grain,germane,accurate,greɪn,ʤərˈmeɪn,ˈækjərət
pet scanner,banner,log,pɛt ˈskænər,ˈbænər,lɔg
edition,missing,perfection,ɪˈdɪʃən,ˈmɪsɪŋ,pərˈfɛkʃən
destruction,emulsion,groan,dɪˈstrəkʃən,ɪˈməlʃə,groʊn
